id gen age mar loc inc iscr escr
112 F 28 S 0 9200 693 998
113 F 38 M 0 7800 643 683
114 F 26 M 0 21200 617 645
115 M 38 M 0 15400 651 628
116 F 38 M 0 16300 598 622
117 M 43 S 0 10200 712 998
118 M 31 M 0 10600 608 583
119 M 36 M 0 4000 744 714
120 M 39 M 0 28100 800 761
121 F 34 M 2 15300 612 656
122 F 37 M 3 7300 695 731
123 M 39 S 3 2700 704 998
124 F 39 W 4 17100 663 998
125 M 39 M 2 8900 724 709
126 M 29 D 2 24500 615 998
127 F 28 M 1 26600 634 664
128 M 28 M 2 5500 755 722
129 F 29 M 2 3300 624 662
130 M 32 M 0 16600 652 621
131 F 31 S 1 9300 685 998
132 F 23 M 0 5500 655 700
133 M 41 M 0 9900 655 638
134 M 44 M 5 3600 715 682
135 M 36 S 1 0 661 998
136 M 30 S 1 12600 731 998
137 M 33 S 0 0 661 998
138 F 37 M 3 7200 551 578
139 F 29 S 0 0 640 998
140 F 25 S 0 16400 615 998
141 F 26 S 0 0 654 998
142 F 31 M 5 6600 649 662
143 F 33 M 1 0 702 726
144 F 34 M 2 9300 633 670
145 M 34 M 1 100 627 593
146 M 39 M 5 6200 720 696
147 M 46 M 0 14100 695 655
148 F 35 D 3 10100 662 998
149 F 99 W 0 11400 689 998
150 F 29 W 2 2800 634 998
151 F 41 M 9 8500 632 657
152 M 33 M 3 0 765 734
153 M 25 S 0 20700 670 998
154 M 36 M 0 7900 678 658
155 F 99 S 0 3700 630 998
156 F 44 M 2 800 650 664
157 M 99 M 0 11900 695 651
158 F 28 M 2 6700 634 659
159 M 47 S 0 24700 605 998
160 M 25 S 0 20500 714 998
161 M 31 S 0 28700 726 998
162 F 26 S 0 7000 657 998
163 F 36 M 1 2700 618 650
164 F 32 M 5 17100 572 589
165 M 39 M 4 13300 704 671
166 F 42 M 1 0 662 686
167 M 44 S 0 10000 715 998
168 M 30 M 2 11600 712 674
169 M 41 M 0 30100 625 591
170 M 43 M 9 12200 685 643
171 F 33 M 0 14500 642 676
172 F 36 M 1 18000 553 580
173 X 37 S 0 10800 999 998
174 F 40 W 2 0 579 998
175 M 40 M 0 2400 703 684
176 M 30 D 2 0 662 998
177 F 27 M 2 2300 607 639
178 M 29 M 5 24200 677 660
179 F 29 M 3 13600 642 677
180 M 32 M 2 7600 607 564
181 F 27 S 0 99999 621 998
182 F 25 M 0 0 583 589
183 M 41 M 4 7200 673 642
184 M 46 M 3 10000 735 708
185 M 31 S 1 26700 675 998
186 M 30 S 0 12800 643 998
187 M 31 S 0 13600 639 998
188 F 37 M 2 4900 712 739
189 F 29 S 0 15400 671 998
190 F 26 S 0 3900 611 998
191 F 24 S 0 10400 591 998
192 F 32 M 3 3200 644 670
193 F 31 M 0 6200 711 743
194 F 35 M 0 12400 631 662
195 M 36 M 0 15600 657 627
196 M 35 M 0 9200 741 715
197 M 43 M 3 25800 705 676
198 X 36 D 3 16200 999 998
199 F 99 W 0 0 625 998
200 F 24 W 2 7300 608 998
201 F 44 M 3 7300 583 621
202 M 27 M 1 16900 630 596
203 M 28 S 1 16900 999 998
204 M 35 M 3 13400 685 663
205 F 99 S 1 2000 580 998
206 F 46 M 3 4800 675 689
207 M 99 M 0 3300 678 648
208 F 30 M 0 0 672 700
209 M 42 S 2 0 711 998
210 M 22 S 1 0 651 998
211 M 29 S 0 24200 677 998
212 F 26 S 0 1000 632 998
213 F 38 M 0 21100 645 677
214 F 27 M 3 3800 638 672
215 M 39 M 2 2200 647 617
216 F 39 M 4 6100 607 650
217 M 46 S 1 9600 646 998
218 M 26 M 2 5600 711 684
219 M 39 M 0 24700 681 639
220 M 40 M 0 9200 678 620
221 F 32 M 0 0 631 649
222 F 38 M 0 11100 662 697
223 F 37 S 0 0 999 998
224 F 37 W 3 8700 661 998
225 M 36 M 3 10100 626 603
226 M 31 D 3 3200 684 998
227 F 25 M 4 18600 581 613
228 M 26 M 5 7500 765 999
229 F 30 M 0 8800 575 605
230 M 34 M 3 9500 737 717
231 F 31 S 0 15800 618 998
232 F 29 M 0 0 588 633
233 M 42 M 2 7900 665 639
234 M 42 M 2 1500 666 626
235 M 32 S 0 15900 732 998
236 M 34 S 1 0 690 998
237 M 31 S 0 13800 681 998
238 F 36 M 5 18100 626 654
239 F 30 S 0 12000 583 998
240 F 29 S 0 17200 595 998
241 F 25 S 0 8300 591 998
242 F 31 M 2 17800 643 668
243 F 31 M 3 23600 674 689
244 F 29 M 0 0 582 615
245 M 32 M 2 28700 713 678
246 M 35 M 5 3300 663 656
247 M 47 M 0 0 720 683
248 M 35 D 1 17400 999 998
249 F 99 W 1 99999 623 998
250 F 25 W 2 8200 576 998
251 F 41 M 3 23500 578 584
252 M 28 M 3 0 668 633
253 M 24 S 0 2400 999 998
254 M 31 M 0 13600 634 614
255 F 99 S 0 5800 625 998
256 F 49 M 0 11900 660 674
257 M 99 M 0 16300 705 684
258 F 33 M 0 24300 677 711
259 M 46 S 0 19200 598 998
260 M 28 S 0 0 707 998
261 M 31 S 0 20500 729 998
262 F 24 S 9 16000 668 998
263 F 36 M 0 2900 607 641
264 F 27 M 2 15100 592 627
265 M 40 M 4 0 727 685
266 F 48 M 2 21800 607 629
267 M 46 S 0 2000 687 998
268 M 27 M 3 11800 665 652
269 M 37 M 0 12000 599 573
270 M 40 M 0 14500 713 676
271 F 28 M 2 6300 699 726
272 F 39 M 5 14300 690 708
273 F 39 S 1 0 999 998
274 F 41 W 3 10400 669 998
275 M 42 M 2 14000 685 653
276 M 27 D 0 9500 709 998
277 F 28 M 5 11800 627 644
278 M 27 M 3 3100 619 600
279 F 31 M 2 0 665 677
280 M 32 M 0 23700 734 714
281 F 26 S 1 17100 671 998
282 F 25 M 3 12800 622 644
283 M 41 M 0 0 670 618
284 M 42 M 0 16500 658 645
285 M 38 S 0 4200 704 998
286 M 37 S 0 16000 690 998
287 M 30 S 1 23000 584 998
288 F 41 M 1 6100 597 621
289 F 30 S 0 0 622 998
290 F 25 S 0 0 722 998
291 F 24 S 0 8100 701 998
292 F 29 M 2 10500 718 749
293 F 31 M 5 0 645 682
294 F 36 M 2 17500 616 656
295 M 34 M 0 26200 696 661
296 M 35 M 3 0 709 683
297 M 47 M 4 6500 669 638
298 X 34 D 2 1200 999 998
299 F 99 W 3 13200 698 998
300 F 27 W 0 6500 605 998
301 F 38 M 1 9900 596 621
302 M 30 M 2 3600 664 619
303 X 25 S 0 2600 999 998
304 M 36 M 2 28900 613 591
305 F 99 S 0 3000 556 998
306 F 45 M 0 1400 597 615
307 M 99 M 0 0 764 729
308 F 37 M 3 7200 731 768
309 M 44 S 1 25200 667 998
310 M 24 S 0 13300 644 998
311 M 30 S 0 10100 664 998
312 F 24 S 0 20400 571 998
313 F 36 M 2 13600 599 638
314 F 28 M 3 2500 670 685
315 M 41 M 9 800 693 653
316 F 40 M 0 100 669 705
317 M 45 S 0 4300 662 998
318 M 29 M 0 15000 768 718
319 M 39 M 2 0 706 683
320 M 42 M 1 6300 671 636
321 F 37 M 1 8900 662 690
322 F 37 M 3 8800 639 665
323 M 41 S 0 7900 737 998
324 F 34 W 5 14100 640 998
325 M 41 M 1 7300 716 677
326 M 31 D 4 0 734 998
327 F 23 M 2 17600 597 630
328 M 26 M 0 13100 690 651
329 F 24 M 3 10300 620 664
330 M 30 M 3 1900 652 601
331 F 27 S 0 22600 631 998
332 F 23 M 0 0 690 705
333 M 40 M 0 9400 716 681
334 M 46 M 3 11100 631 581
335 M 33 S 0 17200 672 998
336 M 34 S 0 0 629 998
337 M 34 S 0 19500 685 998
338 F 37 M 2 8000 620 664
339 F 26 S 0 13300 619 998
340 F 24 S 0 8100 650 998
341 F 24 S 3 4400 634 998
342 F 28 M 2 10700 630 671
343 F 33 M 3 12700 677 727
344 F 36 M 0 9300 620 655
345 M 33 M 0 10900 672 624
346 M 39 M 3 21000 631 604
347 M 43 M 0 26400 683 660
348 F 34 D 0 6000 597 998
349 F 99 W 3 900 689 998
350 F 26 W 4 12500 681 998
